features,label
"dom_manipulation, reflected_payload, javascript_uri_injection, malicious_iframe_injection",Cross-Site Scripting (XSS)
"ssl_stripping, packet_interception",Man-in-the-Middle (MitM)
"network_mapping, ping_sweep, dns_enumeration",Reconnaissance
"multiple_failed_auth, password_spraying, rapid_auth_requests",Brute Force Attack
"high_traffic_volume, service_degradation, amplification_traffic",Distributed Denial of Service (DDoS)
"cookie_theft_attempt, csp_bypass_attempt",Cross-Site Scripting (XSS)
"arp_spoofing, session_hijacking, bgp_hijacking",Man-in-the-Middle (MitM)
"high_traffic_volume, udp_flood, icmp_flood",Distributed Denial of Service (DDoS)
"out_of_band_sqli, db_error_in_response, encoded_sql_payload, boolean_blind_sqli",SQL Injection
"unusual_db_query, blind_sqli_timing, union_based_payload",SQL Injection
"ssl_stripping, packet_interception, bgp_hijacking",Man-in-the-Middle (MitM)
"banner_grabbing, network_mapping, dns_enumeration, traceroute_activity, version_detection",Reconnaissance
"arp_spoofing, certificate_anomaly, ip_spoofing",Man-in-the-Middle (MitM)
"fake_login_page, urgency_in_email, vishing_indicators",Phishing
"reflected_payload, javascript_uri_injection, html_entity_bypass, csp_bypass_attempt",Cross-Site Scripting (XSS)
"ransom_note_created, file_rename_burst, process_injection",Ransomware
"unusual_gateway_mac, rogue_dhcp_server, packet_interception",Man-in-the-Middle (MitM)
"stacked_queries, out_of_band_sqli",SQL Injection
"port_scanning, network_mapping, tcp_connect_scan",Reconnaissance
"cookie_theft_attempt, javascript_uri_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"unusual_db_query, tautology_in_query, encoded_sql_payload",SQL Injection
"blind_sqli_timing, union_based_payload, db_error_in_response",SQL Injection
"syn_flood, http_flood, bandwidth_saturation",Distributed Denial of Service (DDoS)
"high_login_attempts, password_spraying, dictionary_attack",Brute Force Attack
"high_login_attempts, credential_stuffing, password_spraying, dictionary_attack",Brute Force Attack
"service_enumeration, ping_sweep, version_detection",Reconnaissance
"file_rename_burst, backup_deletion, registry_modification, bitcoin_address_in_note",Ransomware
"amplification_traffic, slow_loris_attack, connection_exhaustion",Distributed Denial of Service (DDoS)
"blind_sqli_timing, tautology_in_query, time_delay_response",SQL Injection
"lateral_movement, data_exfiltration_before_encryption, bitcoin_address_in_note",Ransomware
"suspicious_email_link, domain_spoofing, spear_phishing_indicators",Phishing
"script_tag_in_input, reflected_payload, event_handler_injection",Cross-Site Scripting (XSS)
"ssl_stripping, certificate_anomaly, unusual_gateway_mac",Man-in-the-Middle (MitM)
"multiple_failed_auth, account_lockout_triggered, rapid_auth_requests, failed_ssh_attempts",Brute Force Attack
"syn_flood, bandwidth_saturation, dns_amplification",Distributed Denial of Service (DDoS)
"os_fingerprinting, dns_enumeration, whois_lookup",Reconnaissance
"service_degradation, http_flood, dns_amplification",Distributed Denial of Service (DDoS)
"dns_spoofing, session_hijacking, evil_twin_ap, ip_spoofing",Man-in-the-Middle (MitM)
"error_based_response, db_error_in_response",SQL Injection
"high_traffic_volume, service_degradation, slow_loris_attack, ntp_amplification",Distributed Denial of Service (DDoS)
"fake_login_page, malicious_attachment, brand_impersonation",Phishing
"mass_file_encryption, process_injection, bitcoin_address_in_note",Ransomware
"service_enumeration, ping_sweep",Reconnaissance
"script_tag_in_input, stored_xss_payload, javascript_uri_injection",Cross-Site Scripting (XSS)
"os_fingerprinting, whois_lookup, version_detection",Reconnaissance
"unusual_db_query, out_of_band_sqli, boolean_blind_sqli",SQL Injection
"error_based_response, tautology_in_query, encoded_sql_payload",SQL Injection
"bandwidth_saturation, connection_exhaustion, ntp_amplification",Distributed Denial of Service (DDoS)
"fake_login_page, lookalike_domain",Phishing
"brute_force_login, multiple_failed_auth, dictionary_attack",Brute Force Attack
"mass_file_encryption, c2_communication, file_rename_burst, backup_deletion",Ransomware
"certificate_anomaly, rogue_dhcp_server, evil_twin_ap",Man-in-the-Middle (MitM)
"blind_sqli_timing, out_of_band_sqli, encoded_sql_payload",SQL Injection
"c2_communication, file_rename_burst, process_injection, lateral_movement, data_exfiltration_before_encryption",Ransomware
"c2_communication, file_rename_burst, lateral_movement, bitcoin_address_in_note",Ransomware
"port_scanning, banner_grabbing, whois_lookup, version_detection",Reconnaissance
"high_login_attempts, failed_ssh_attempts, auth_log_flooding",Brute Force Attack
"ssl_stripping, certificate_anomaly, dns_spoofing, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"arp_spoofing, rogue_dhcp_server, evil_twin_ap",Man-in-the-Middle (MitM)
"port_scanning, network_mapping, dns_enumeration, tcp_connect_scan",Reconnaissance
"port_scanning, service_enumeration, network_mapping, idle_scan",Reconnaissance
"brute_force_login, multiple_failed_auth, high_login_attempts, password_spraying, rapid_auth_requests",Brute Force Attack
"service_enumeration, banner_grabbing, traceroute_activity, version_detection",Reconnaissance
"suspicious_email_link, email_header_anomaly, whaling_attempt",Phishing
"union_based_payload, time_delay_response",SQL Injection
"connection_exhaustion, dns_amplification, ntp_amplification",Distributed Denial of Service (DDoS)
"blind_sqli_timing, union_based_payload, stacked_queries",SQL Injection
"arp_spoofing, evil_twin_ap",Man-in-the-Middle (MitM)
"domain_spoofing, malicious_attachment, whaling_attempt",Phishing
"urgency_in_email, spear_phishing_indicators, vishing_indicators",Phishing
"backup_deletion, registry_modification, lateral_movement",Ransomware
"stacked_queries, encoded_sql_payload, boolean_blind_sqli",SQL Injection
"os_fingerprinting, network_mapping",Reconnaissance
"error_based_response, blind_sqli_timing, stacked_queries",SQL Injection
"sql_injection_pattern, stacked_queries, tautology_in_query",SQL Injection
"unusual_file_extension, file_rename_burst",Ransomware
"multiple_failed_auth, account_lockout_triggered, failed_rdp_attempts",Brute Force Attack
"credential_harvesting, urgency_in_email, whaling_attempt",Phishing
"high_login_attempts, rapid_auth_requests",Brute Force Attack
"ssl_stripping, certificate_anomaly, dns_spoofing, rogue_dhcp_server, session_hijacking",Man-in-the-Middle (MitM)
"fake_login_page, vishing_indicators",Phishing
"shadow_copy_deletion, lateral_movement, data_exfiltration_before_encryption",Ransomware
"high_traffic_volume, udp_flood, http_flood",Distributed Denial of Service (DDoS)
"syn_flood, bandwidth_saturation, connection_exhaustion",Distributed Denial of Service (DDoS)
"file_rename_burst, backup_deletion, lateral_movement",Ransomware
"service_enumeration, banner_grabbing, network_mapping, dns_enumeration, whois_lookup",Reconnaissance
"cookie_theft_attempt, reflected_payload, stored_xss_payload, html_entity_bypass, csp_bypass_attempt",Cross-Site Scripting (XSS)
"suspicious_email_link, malicious_attachment, vishing_indicators",Phishing
"domain_spoofing, email_header_anomaly, malicious_attachment, vishing_indicators",Phishing
"script_tag_in_input, dom_manipulation, cookie_theft_attempt, html_entity_bypass",Cross-Site Scripting (XSS)
"credential_stuffing, password_spraying, rapid_auth_requests",Brute Force Attack
"banner_grabbing, whois_lookup, version_detection",Reconnaissance
"high_traffic_volume, amplification_traffic",Distributed Denial of Service (DDoS)
"mass_file_encryption, backup_deletion, registry_modification",Ransomware
"port_scanning, idle_scan",Reconnaissance
"unusual_file_extension, file_rename_burst, backup_deletion, process_injection",Ransomware
"port_scanning, network_mapping, ping_sweep, idle_scan",Reconnaissance
"dictionary_attack, rapid_auth_requests",Brute Force Attack
"amplification_traffic, slow_loris_attack, ntp_amplification",Distributed Denial of Service (DDoS)
"port_scanning, ping_sweep, tcp_connect_scan",Reconnaissance
"suspicious_email_link, domain_spoofing, email_header_anomaly",Phishing
"os_fingerprinting, network_mapping, idle_scan",Reconnaissance
"os_fingerprinting, service_enumeration, banner_grabbing",Reconnaissance
"domain_spoofing, lookalike_domain, whaling_attempt",Phishing
"file_rename_burst, backup_deletion, registry_modification",Ransomware
"high_traffic_volume, http_flood, connection_exhaustion",Distributed Denial of Service (DDoS)
"suspicious_email_link, urgency_in_email, spear_phishing_indicators",Phishing
"ransom_note_created, file_rename_burst",Ransomware
"c2_communication, registry_modification",Ransomware
"port_scanning, traceroute_activity, idle_scan",Reconnaissance
"amplification_traffic, slow_loris_attack, dns_amplification",Distributed Denial of Service (DDoS)
"udp_flood, http_flood, amplification_traffic, ntp_amplification",Distributed Denial of Service (DDoS)
"dns_spoofing, packet_interception, session_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"shadow_copy_deletion, file_rename_burst, lateral_movement",Ransomware
"shadow_copy_deletion, c2_communication, backup_deletion, process_injection, bitcoin_address_in_note",Ransomware
"xss_payload_detected, script_tag_in_input, javascript_uri_injection",Cross-Site Scripting (XSS)
"script_tag_in_input, dom_manipulation, event_handler_injection, malicious_iframe_injection",Cross-Site Scripting (XSS)
"multiple_failed_auth, high_login_attempts, account_lockout_triggered, rapid_auth_requests, failed_ssh_attempts",Brute Force Attack
"bandwidth_saturation, dns_amplification, ntp_amplification",Distributed Denial of Service (DDoS)
"dom_manipulation, javascript_uri_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"dictionary_attack, rapid_auth_requests, failed_rdp_attempts",Brute Force Attack
"ssl_stripping, rogue_dhcp_server, evil_twin_ap",Man-in-the-Middle (MitM)
"error_based_response, stacked_queries, db_error_in_response",SQL Injection
"event_handler_injection, javascript_uri_injection, malicious_iframe_injection",Cross-Site Scripting (XSS)
"udp_flood, slow_loris_attack, connection_exhaustion",Distributed Denial of Service (DDoS)
"suspicious_email_link, email_header_anomaly, lookalike_domain, urgency_in_email",Phishing
"banner_grabbing, ping_sweep, version_detection",Reconnaissance
"ssl_stripping, unusual_gateway_mac, rogue_dhcp_server",Man-in-the-Middle (MitM)
"script_tag_in_input, event_handler_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"sql_injection_pattern, union_based_payload, out_of_band_sqli",SQL Injection
"lookalike_domain, malicious_attachment, brand_impersonation",Phishing
"udp_flood, slow_loris_attack, bandwidth_saturation, dns_amplification, ntp_amplification",Distributed Denial of Service (DDoS)
"brand_impersonation, whaling_attempt",Phishing
"file_rename_burst, bitcoin_address_in_note",Ransomware
"mass_file_encryption, c2_communication, bitcoin_address_in_note",Ransomware
"dns_enumeration, idle_scan, version_detection",Reconnaissance
"port_scanning, os_fingerprinting, whois_lookup",Reconnaissance
"script_tag_in_input, cookie_theft_attempt, reflected_payload, csp_bypass_attempt",Cross-Site Scripting (XSS)
"unusual_db_query, blind_sqli_timing, out_of_band_sqli, time_delay_response, boolean_blind_sqli",SQL Injection
"brute_force_login, failed_rdp_attempts",Brute Force Attack
"password_spraying, failed_ssh_attempts, failed_rdp_attempts",Brute Force Attack
"suspicious_email_link, urgency_in_email, malicious_attachment",Phishing
"lookalike_domain, malicious_attachment, spear_phishing_indicators",Phishing
"multiple_failed_auth, credential_stuffing, auth_log_flooding",Brute Force Attack
"email_header_anomaly, lookalike_domain",Phishing
"suspicious_email_link, credential_harvesting",Phishing
"mass_file_encryption, ransom_note_created, shadow_copy_deletion, registry_modification, bitcoin_address_in_note",Ransomware
"ransom_note_created, shadow_copy_deletion, data_exfiltration_before_encryption",Ransomware
"service_degradation, http_flood, amplification_traffic, connection_exhaustion",Distributed Denial of Service (DDoS)
"fake_login_page, brand_impersonation, whaling_attempt",Phishing
"banner_grabbing, network_mapping, traceroute_activity",Reconnaissance
"error_based_response, encoded_sql_payload",SQL Injection
"credential_harvesting, lookalike_domain, brand_impersonation, whaling_attempt",Phishing
"high_login_attempts, credential_stuffing, failed_ssh_attempts",Brute Force Attack
"udp_flood, dns_amplification, ntp_amplification",Distributed Denial of Service (DDoS)
"error_based_response, db_error_in_response, tautology_in_query",SQL Injection
"banner_grabbing, network_mapping, traceroute_activity, version_detection, tcp_connect_scan",Reconnaissance
"cookie_theft_attempt, html_entity_bypass, csp_bypass_attempt",Cross-Site Scripting (XSS)
"registry_modification, data_exfiltration_before_encryption, bitcoin_address_in_note",Ransomware
"fake_login_page, urgency_in_email, malicious_attachment",Phishing
"brute_force_login, multiple_failed_auth",Brute Force Attack
"service_enumeration, traceroute_activity, tcp_connect_scan",Reconnaissance
"unusual_db_query, stacked_queries, encoded_sql_payload, boolean_blind_sqli",SQL Injection
"dictionary_attack, rapid_auth_requests, failed_ssh_attempts",Brute Force Attack
"multiple_failed_auth, failed_ssh_attempts, failed_rdp_attempts",Brute Force Attack
"ssl_stripping, session_hijacking, ip_spoofing",Man-in-the-Middle (MitM)
"dictionary_attack, failed_rdp_attempts",Brute Force Attack
"sql_injection_pattern, unusual_db_query, db_error_in_response, tautology_in_query, time_delay_response",SQL Injection
"banner_grabbing, network_mapping, version_detection",Reconnaissance
"multiple_failed_auth, high_login_attempts, failed_ssh_attempts",Brute Force Attack
"mass_file_encryption, file_rename_burst, process_injection, bitcoin_address_in_note",Ransomware
"sql_injection_pattern, blind_sqli_timing, stacked_queries",SQL Injection
"ssl_stripping, unusual_gateway_mac, bgp_hijacking",Man-in-the-Middle (MitM)
"high_traffic_volume, http_flood, icmp_flood",Distributed Denial of Service (DDoS)
"high_traffic_volume, http_flood, amplification_traffic",Distributed Denial of Service (DDoS)
"javascript_uri_injection, malicious_iframe_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"suspicious_email_link, fake_login_page, email_header_anomaly, whaling_attempt",Phishing
"port_scanning, service_enumeration, version_detection",Reconnaissance
"mass_file_encryption, ransom_note_created, registry_modification",Ransomware
